"cod","cod_interno","erro","origem.motivo","origem.matricula","origem.inicio","origem.fim"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000008424]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000008424","2019-09-16T00:00:00","2019-10-01T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000008433]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000008433","2019-09-16T00:00:00","2019-10-01T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000008484]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000008484","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000008485]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000008485","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000008655]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000008655","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000008705]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000008705","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000008861","2019-09-11T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000008873","2019-09-11T00:00:00","2019-10-01T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000008899]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000008899","2019-09-16T00:00:00","2019-10-01T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000008931]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000008931","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000009114]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000009114","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000009162]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000009162","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000009474]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000009474","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000009586","2019-09-11T00:00:00","2019-10-01T00:00"
